Title,Intervention,Health condition,,,,,,
Effect of conjugate pneumococcal vaccine followed by polysaccharide pneumococcal vaccine on recurrent acute otitis media: a randomised study.[comment],Vaccination,OM,,,,,,
Effect of pneumococcal vaccination on nasopharyngeal carriage and acute otitis media in children with recurrent otitis media,Vaccination,pneumococcal,,,,,,
Effect of pneumococcal vaccination on nasopharyngeal carriage and acute otitis media in children with recurrent otitis media,Vaccination,OM,,,,,,
Vitamin A status in children with pneumonia,Vitamin A,Pneumonia,,,,,,
"Respiratory virus vaccines. 8. Field evaluation of trivalent parainfluenza virus vaccine among preschool children in families, 1967-1968",Vaccination,Influenza,,,,,,
Chest physical therapy in patients with acute exacerbation of chronic bronchitis: effectiveness of three methods,Chest Physiotherapy,bronchitis,,,,,,
IM treated by an antihistamine: a comparison of the efficacy of ranitidine (Zantac) vs placebo in the treatment of IM,Antihistamine,IM,,,,,,
[Is the use of ribavirin aerosols in respiratory syncytial virus infections justified? Clinical and economic evaluation],Antiviral,RSV,,,,,,
Azithromycin compared with clarithromycin for the treatment of streptococcal pharyngitis in children,Antibiotic vs antibiotic,Pharyngitis,,,,,,
Essential fatty acids: the effects of dietary supplementation among children with recurrent respiratory infections,Nutritional supplementation,ARI,,,,,,
Reduced-antigen-content-Diptheria-tetanus-acellular-pertussis and inactivated polio vaccine as a booster for adolescents 10 to 14 years of age,Vaccination,tetanus,,,,,,
Reduced-antigen-content-Diptheria-tetanus-acellular-pertussis and inactivated polio vaccine as a booster for adolescents 10 to 14 years of age,Vaccination,pertussis,,,,,,
Reduced-antigen-content-Diptheria-tetanus-acellular-pertussis and inactivated polio vaccine as a booster for adolescents 10 to 14 years of age,Vaccination,polio,,,,,,
Reduced-antigen-content-Diptheria-tetanus-acellular-pertussis and inactivated polio vaccine as a booster for adolescents 10 to 14 years of age,Vaccination,Diptheria,,,,,,
Randomized comparative study of cefixime versus cephalexin in acute bacterial exacerbations of chronic bronchitis,Antibiotic vs antibiotic,bronchitis,,,,,,
"Azithromycin vs cefuroxime plus erythromycin for empirical treatment of community-acquired pneumonia in hospitalized patients: a prospective, randomized, multicenter trial",Antibiotic vs antibiotic,CAP,,,,,,
[Comparative clinical trial of cefoperazone versus ampicillin + tobramycin in severe bronchopulmonary infectious pathology],Antibiotic vs antibiotic,LRTI,,,,,,
"Benzoxonium chloride as an alternative to Antibiotic in acute non- specific sore throat: Single-blind, comparative, randomised clinical trial, versus roxithromycin",Antibiotic,Pharyngitis,,,,,,
"Benzoxonium chloride as an alternative to Antibiotic in acute non- specific sore throat: Single-blind, comparative, randomised clinical trial, versus roxithromycin",antiseptic,Pharyngitis,,,,,,
"[Antiphlogistic therapy with ketoprofen lysine salt vs nimesulide in secretive otitis media, rhinitis/rhinosinusitis, pharyngitis/tonsillitis/tracheitis]",NSAID,common cold,,,,,,
"[Antiphlogistic therapy with ketoprofen lysine salt vs nimesulide in secretive otitis media, rhinitis/rhinosinusitis, pharyngitis/tonsillitis/tracheitis]",NSAID,pharyngitis,,,,,,
"[Antiphlogistic therapy with ketoprofen lysine salt vs nimesulide in secretive otitis media, rhinitis/rhinosinusitis, pharyngitis/tonsillitis/tracheitis]",NSAID,OM,,,,,,
Effects of doxycycline in patients with acute cough and purulent sputum: a double blind placebo controlled trial,Antibiotic,Cough,,,,,,
PorA-specific differences in antibody avidity after vaccination with a hexavalent Men B outer membrane vesicle vaccine in toddlers and school children,Vaccination,Meningococcal,,,,,,
Combined schedule of 7-valent pneumococcal conjugate vaccine followed by 23-valent pneumococcal vaccine in children and young adults with sickle cell disease,Vaccination,Pneumococcal,,,,,,
Tolerability of oral xylitol solution in young children: implications for otitis media prophylaxis,Xylitol,OM,,,,,,
Cyclosporine A impairs the humoral immune response after influenza vaccination in renal transplant recipients,Immunosuppressant,Influenza,,,,,,
Cyclosporine A impairs the humoral immune response after influenza vaccination in renal transplant recipients,Immunosuppressant,Influenza,,,,,,
Efficacy of high dose guaifenesin in the treatment of pediatric sinusitis,Decongestant,Sinusitis,,,,,,
,,,,,,,,
Clinical trial of a new trivalent measles-mumps-rubella vaccine in young children,Vaccination,Mumps,,,,,,
Clinical trial of a new trivalent measles-mumps-rubella vaccine in young children,Vaccination,Rubella,,,,,,
Clinical trial of a new trivalent measles-mumps-rubella vaccine in young children,Vaccination,Measles,,,,,,
Evaluation in young children of the Urabe Am 9 strain of live attenuated mumps vaccine in comparison with the Jeryl Lynn strain,Vaccination,Mumps,,,,,,
Comparison of the Urabe Am 9-Schwarz and Jeryl Lynn-Moraten combinations of mumps-measles vaccines in young children,Vaccination,Measles,,,,,,
Comparison of the Urabe Am 9-Schwarz and Jeryl Lynn-Moraten combinations of mumps-measles vaccines in young children,Vaccination,Mumps,,,,,,
A randomized trial of zinc nasal spray for the treatment of upper respiratory illness in adults,Zinc,URTI,,,,,,
"Safety, efficacy, and effectiveness of cold-adapted influenza vaccine-trivalent against community-acquired, culture-confirmed influenza in young children attending day care",Vaccination,Influenza,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,tetanus,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,pertussis,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,HiB,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,polio,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,rotavirus,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,Hepatitis,,,,,,
Concurrent administration of rhesus rotavirus tetravalent (RRV-TV) vaccine with pentavalentdiptheria-pertussis-tetanus-Haemophilus influenzae beta-inactivated polio and hepatitis B vaccines. [see comments.],Vaccination,Diptheria,,,,,,
"A randomized, double-blind study of the safety, transmissibility and phenotypic and genotypic stability of cold-adapted influenza virus vaccine",Vaccination,Influenza,,,,,,
"Safety and tolerability of cold-adapted influenza vaccine, trivalent, in infants younger than 6 months of age",Vaccination,Influenza,,,,,,
Immunogenicity of the 10-valent pneumococcal non-typeable Haemophilus influenzae protein D conjugate vaccine (PHiD-CV) compared to the licensed 7vCRM vaccine,Vaccination,HiB,,,,,,
A comparative study of the efficacy of ceftazidime versus cefazolin and tobramycin in patients with acute exacerbations of chronic bronchitis,Antibiotic vs antibiotic,bronchitis,,,,,,
Steroids ineffective for pain in children with pharyngitis,Corticosteroid,Pharyngitis,,,,,,
"Discontinuation of secondary prophylaxis for cryptococcal meningitis in human immunodeficiency virus-infected patients treated with highly active antiretroviral therapy: a prospective, multicenter, randomized study",Antiviral,Meningitis,,,,,,
"Nebulized bacitracin/colimycin: a treatment option in recalcitrant chronic rhinosinusitis with Staph aureus? A double-blind, randomized, placebo-controlled, cross-over pilot study",Antibiotic,Common Cold,,,,,,
[Clinical and pharmacokinetic evaluation of ofloxacin under various regimens of administration in patients with bronchopulmonary infections],Antibiotic,LRTI,,,,,,
A randomised comparison of isepamicin and amikacin in the treatment of bacterial infections in paediatric patients,Antibiotic vs antibiotic,Bacterial infections,,,,,,
Comparative trial of acyclovir and vidarabine in disseminated varicella-zoster virus infections in immunocompromised patients,Antiviral,Varicella zoster,,,,,,
Comparative trial of acyclovir and vidarabine in disseminated varicella-zoster virus infections in immunocompromised patients,Antiviral,Varicella zoster,,,,,,
"Intravenous ciprofloxacin or ceftazidime in selected infections. A prospective, randomized, controlled study",Antibiotic vs antibiotic,LRTI,,,,,,
Efficacy and tolerability of clarithromycin versus azithromycin in the short-course treatment of acute bronchitis,Antibiotic vs antibiotic,Bronchitis,,,,,,
The effect of an oral combined preparation (antihistamine and decongestant) on Eustachian tube function in the common cold,Decongestant,common cold,,,,,,
The effect of an oral combined preparation (antihistamine and decongestant) on Eustachian tube function in the common cold,Antihistamine,Common cold,,,,,,
A slow release combined preparation (dexchlorpheniramine + pseudoephedrine) for symptomatic treatment of the common cold,Decongestant,common cold,,,,,,
A slow release combined preparation (dexchlorpheniramine + pseudoephedrine) for symptomatic treatment of the common cold,Antihistamine,Common cold,,,,,,
Day-to-day reactogenicity and the healthy vaccinee effect of measles-mumps-rubella vaccination,Vaccination,mumps,,,,,,
Day-to-day reactogenicity and the healthy vaccinee effect of measles-mumps-rubella vaccination,Vaccination,rubella,,,,,,
Day-to-day reactogenicity and the healthy vaccinee effect of measles-mumps-rubella vaccination,Vaccination,Measles,,,,,,
,,,,,,,,
Intranasal administration of chick embryo fibroblast Edmonston-Zagreb measles vaccine,Vaccination,Measles,,,,,,
[Treatment of lower respiratory tract infections including pneumonia. Comparative study with i.vl cefotaxime/oral cefixime versus parenteral cefotaxime]. [German],Antibiotic vs antibiotic,pneumonia,,,,,,
[Treatment of lower respiratory tract infections including pneumonia. Comparative study with i.vl cefotaxime/oral cefixime versus parenteral cefotaxime]. [German],Antibiotic vs antibiotic,LRTI,,,,,,
"[Bactericidal antibodies to meningococcal serogroups A, B and C in persons inoculated with a polycomponent meningococcal vaccine].",Vaccination,Meningococcal,,,,,,
Efficacy and tolerance of cefotaxime followed by oral cefixime versus cefotaxime alone in patients with lower respiratory tract infections,Antibiotic vs antibiotic,LRTI,,,,,,
The use of oral temafloxacin compared with a parenteral cephalosporin in hospitalized patients with pneumonia,Antibiotic vs antibiotic,Pneumonia,,,,,,
[Prophylaxis and treatment of respiratory tract infection in ventilated patients by endotracheal administration of aminoglycosides],Antibiotic,RTI,,,,,,
Prone positioning improves oxygenation in post-traumatic lung injury--a prospective randomized trial,Positioning,Traumatic lung injury,,,,,,
,,,,,,,,
Steroid treatment of pseudo-croup,Corticosteroid,Pseudocroup,,,,,,
Outer membrane proteins of Pseudomonas aeruginosa as vaccine candidates,Vaccination,Pseudomonas,,,,,,
Safety and immunogenicity of a Pseudomonas aeruginosa outer membrane protein I vaccine in human volunteers,Vaccination,Pseudomonas,,,,,,
Bacampicillin twice daily in acute maxillary sinusitis: an alternative dosage regimen,Antibiotic,Sinusitis,,,,,,
Treatment of acute maxillary sinusitis--comparing cefpodoxime proxetil with amoxicillin,Antibiotic vs antibiotic,Sinusitis,,,,,,
Dexamethasone in the treatment of acute bacterial meningitis: the effect of study design on the interpretation of results,Corticosteroid,Meningitis,,,,,,
Increased effects of topically applied interferon on herpes simplex virus-induced lesions by caffeine,Immunomodulator,HSV,,,,,,
,,,,,,,,
[Herbal immunomodulator shortens the duration of respiratory infections. Double-blind clinical trial proves an increase in non-specific immunity],CAM,ARI,,,,,,
Priming for immunologic memory in adults by meningococcal group C conjugate vaccination,Vaccination,Meningococcal ,,,,,,
Antibody persistence 3 years after immunization of adolescents with quadrivalent meningococcal conjugate vaccine,Vaccination,Meningococcal ,,,,,,
